"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"C";;;
2;"C2";"CP_Radial_D8.0mm_P3.80mm";1;"CP";;;
3;"D1";"D_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"DIODE";;;
4;"J1,J2";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
5;"K1";"Relay_SPDT_Omron-G5LE-1";1;"G5LE-1";;;
6;"Q1,Q2";"TO-92_Inline";2;"BC547";;;
7;"R1,R2,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"R";;;
8;"RV1";"Potentiometer_Bourns_3266Y_Vertical";1;"R_POT";;;
9;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"NE555D";;;
